,Image_Link,Actor Name,Twitter Handle
0,https://pbs.twimg.com/profile_images/1138177088136011776/Rnp146CU_400x400.jpg,Amitabh Bachchan,@SrBachchan
1,https://pbs.twimg.com/profile_images/838562307/IMG00882-20100416-0034_400x400.jpg,Salman Khan,@BeingSalmanKhan
2,https://pbs.twimg.com/profile_images/661679664/keep_it_onn_400x400.jpg,Shah Rukh Khan,@iamsrk
3,https://pbs.twimg.com/profile_images/1085067824840822785/ychTUtB8_400x400.jpg,Akshay Kumar,@akshaykumar
4,https://pbs.twimg.com/profile_images/1166471091663122433/5ULjGFJS_400x400.jpg,Hrithik Roshan,@iHrithik
5,https://pbs.twimg.com/profile_images/1251822763741831169/gQyUmi6N_400x400.jpg,Deepika Padukone,@deepikapadukone
6,https://pbs.twimg.com/profile_images/1195009386189639682/JLZgJ-S3_400x400.jpg,PRIYANKA,@priyankachopra
7,https://pbs.twimg.com/profile_images/1197147260716339201/MO7Xagsu_400x400.jpg,Aamir Khan,@aamir_khan
8,https://pbs.twimg.com/profile_images/1195210447172952064/oZyMahy-_400x400.jpg,Anushka Sharma,@AnushkaSharma
9,https://pbs.twimg.com/profile_images/1183610291382128640/3CNFRhNJ_400x400.jpg,Alia Bhatt,@aliaa08
10,https://pbs.twimg.com/profile_images/1248929933436407810/rIlg2Q2U_400x400.jpg,Anupam Kher,@AnupamPKher
11,https://pbs.twimg.com/profile_images/1215623367526502402/d5RnSorn_400x400.jpg,Sonakshi Sinha,@sonakshisinha
12,https://pbs.twimg.com/profile_images/1152215560869953536/mSjwFhbF_400x400.jpg,Kapil Sharma,@KapilSharmaK9
13,https://pbs.twimg.com/profile_images/1120067410927783936/6-SXLIjq_400x400.jpg,Shahid Kapoor,@shahidkapoor
14,https://pbs.twimg.com/profile_images/719427633117671425/J5wKAQlQ_400x400.jpg,Abhishek Bachchan,@juniorbachchan
15,https://pbs.twimg.com/profile_images/1243142721474138113/2bNbTGl8_400x400.jpg,Parineeti Chopra,@ParineetiChopra
16,https://pbs.twimg.com/profile_images/1193734068917043200/3RpUIXyk_400x400.jpg,Ranveer Singh,@RanveerOfficial
17,https://pbs.twimg.com/profile_images/1145948449193566208/SvvELvMl_400x400.jpg,Sonam K Ahuja,@sonamakapoor
18,https://pbs.twimg.com/profile_images/916953695522234369/xA5XaiwM_400x400.jpg,Ajay Devgn,@ajaydevgn
19,https://pbs.twimg.com/profile_images/1244562368547278850/QFMdb3kk_400x400.jpg,Shraddha,@ShraddhaKapoor
20,https://pbs.twimg.com/profile_images/1231607933332418561/IqBNq7l2_400x400.jpg,Varun Dhawan,@Varun_dvn
21,https://pbs.twimg.com/profile_images/1015312372062273536/AH0CqQKa_400x400.jpg,Riteish Deshmukh,@Riteishd
22,https://pbs.twimg.com/profile_images/1184706565216948224/Z3QQ1QAQ_400x400.jpg,Sidharth Malhotra,@SidMalhotra
23,https://pbs.twimg.com/profile_images/1143421283218051073/UAKeJTmA_400x400.png,Mahesh Babu,@urstrulyMahesh
24,https://pbs.twimg.com/profile_images/1230835033130196995/j9ZRCFtW_400x400.jpg,Dhanush,@dhanushkraja
25,https://pbs.twimg.com/profile_images/1179629959293239296/AsPKmkVT_400x400.jpg,Madhuri Dixit Nene,@MadhuriDixit
26,https://pbs.twimg.com/profile_images/1214423635907137537/WgBsNRuq_400x400.jpg,Samantha Akkineni,@Samanthaprabhu2
27,https://pbs.twimg.com/profile_images/1246069247312146434/R12u71i5_400x400.jpg,Vir Das,@thevirdas
28,https://pbs.twimg.com/profile_images/1224293961470070784/XYD_CGEV_400x400.jpg,shruti haasan,@shrutihaasan
